location_id,species_id,method,time_of_day,rate,min_level,max_level,condition_note
1,396,WALK,ANY,45,2,3,
1,399,WALK,ANY,55,2,3,
2,396,WALK,ANY,40,3,4,
2,399,WALK,ANY,30,3,4,
2,403,WALK,ANY,30,3,4,
3,396,WALK,ANY,35,4,5,
3,399,WALK,ANY,20,4,5,
3,63,WALK,ANY,20,4,5,
3,41,WALK,NIGHT,25,4,5,
3,129,OLD_ROD,ANY,70,1,10,
3,54,GOOD_ROD,ANY,60,2,3,
3,66,RADAR,ANY,,5,5,PokeRadar
4,54,SURF,ANY,90,20,29,
4,55,SURF,ANY,10,29,40,
4,129,OLD_ROD,ANY,70,1,10,
4,118,GOOD_ROD,ANY,60,10,25,
4,129,GOOD_ROD,ANY,40,10,25,
4,130,SUPER_ROD,ANY,40,30,45,
4,118,SUPER_ROD,ANY,60,20,40,
