id,name,type1,type2,base_hp,base_atk,base_def,base_spa,base_spd,base_spe,sprite_key
41,Zubat,POISON,FLYING,40,45,35,30,40,55,041
54,Psyduck,WATER,,50,52,48,65,50,55,054
55,Golduck,WATER,,80,82,78,95,80,85,055
63,Abra,PSYCHIC,,25,20,15,105,55,90,063
66,Machop,FIGHTING,,70,80,50,35,35,35,066
118,Goldeen,WATER,,45,67,60,35,50,63,118
129,Magikarp,WATER,,20,10,55,15,20,80,129
130,Gyarados,WATER,FLYING,95,125,79,60,100,81,130
396,Starly,NORMAL,FLYING,40,55,30,30,30,60,396
399,Bidoof,NORMAL,,59,45,40,35,40,31,399
403,Shinx,ELECTRIC,,45,65,34,40,34,45,403
