location_id,species_id,method,time_of_day,rate,min_level,max_level,condition_note
1,29,RADAR,ANY,20,2,3,PokéRadar
1,32,RADAR,ANY,20,2,3,PokéRadar
1,84,SWARM,ANY,40,2,2,Swarm
1,396,WALK,ANY,40,2,3,
1,399,WALK,ANY,50,2,3,
1,396,WALK,DAY,10,3,3,
1,396,WALK,MORNING,10,3,3,
1,399,WALK,NIGHT,10,3,3,
2,161,RADAR,ANY,22,2,4,PokéRadar
2,263,SWARM,ANY,40,3,3,Swarm
2,396,WALK,ANY,20,2,4,
2,399,WALK,ANY,30,2,4,
2,403,WALK,ANY,30,3,4,
2,396,WALK,DAY,20,3,4,
2,396,WALK,MORNING,10,4,4,
2,401,WALK,MORNING,10,3,3,
2,401,WALK,NIGHT,20,3,4,
3,118,GOOD_ROD,ANY,45,10,25,
3,129,GOOD_ROD,ANY,55,10,25,
3,129,OLD_ROD,ANY,100,3,10,
3,280,RADAR,ANY,21,4,6,PokéRadar
3,281,RADAR,ANY,1,6,6,PokéRadar
3,119,SUPER_ROD,ANY,45,20,50,
3,130,SUPER_ROD,ANY,55,30,55,
3,54,SURF,ANY,90,20,40,
3,55,SURF,ANY,10,20,40,
3,104,SWARM,ANY,40,4,4,Swarm
3,63,WALK,ANY,15,4,5,
3,396,WALK,ANY,25,4,6,
3,399,WALK,ANY,15,4,6,
3,403,WALK,ANY,25,4,5,
3,396,WALK,DAY,20,4,5,
3,396,WALK,MORNING,10,5,5,
3,401,WALK,MORNING,10,4,4,
3,41,WALK,NIGHT,10,5,5,
3,401,WALK,NIGHT,10,4,4,
4,118,GOOD_ROD,ANY,45,10,25,
4,129,GOOD_ROD,ANY,55,10,25,
4,129,OLD_ROD,ANY,100,3,10,
4,191,RADAR,ANY,22,6,8,PokéRadar
4,280,RADAR,ANY,21,4,6,PokéRadar
4,281,RADAR,ANY,1,6,6,PokéRadar
4,119,SUPER_ROD,ANY,45,20,50,
4,130,SUPER_ROD,ANY,55,30,55,
4,54,SURF,ANY,90,20,40,
4,55,SURF,ANY,10,20,40,
4,396,WALK,ANY,25,4,8,
4,399,WALK,ANY,25,4,8,
4,403,WALK,ANY,15,4,7,
4,406,WALK,ANY,15,4,7,
4,396,WALK,DAY,10,4,6,
4,406,WALK,DAY,10,4,6,
4,401,WALK,MORNING,10,4,6,
4,406,WALK,MORNING,10,4,6,
4,41,WALK,NIGHT,10,4,6,
4,401,WALK,NIGHT,10,4,6,
5,129,GOOD_ROD,ANY,55,10,25,
5,339,GOOD_ROD,ANY,45,10,25,
5,456,GOOD_ROD,ANY,45,10,25,
5,190,HONEY_TREE,ANY,15,5,15,
5,214,HONEY_TREE,ANY,5,5,15,
5,265,HONEY_TREE,ANY,45,5,15,
5,266,HONEY_TREE,ANY,20,5,15,
5,268,HONEY_TREE,ANY,20,5,15,
5,412,HONEY_TREE,ANY,30,5,15,
5,415,HONEY_TREE,ANY,60,5,15,
5,420,HONEY_TREE,ANY,25,5,15,
5,446,HONEY_TREE,ANY,100,5,15,
5,129,OLD_ROD,ANY,100,3,10,
5,79,RADAR,ANY,22,11,12,PokéRadar
5,187,RADAR,ANY,22,9,11,PokéRadar
5,188,RADAR,ANY,2,12,12,PokéRadar
5,90,SUPER_ROD,ANY,15,20,40,
5,130,SUPER_ROD,ANY,55,30,55,
5,340,SUPER_ROD,ANY,45,20,50,
5,457,SUPER_ROD,ANY,45,20,50,
5,54,SURF,ANY,90,20,40,
5,55,SURF,ANY,10,20,40,
5,72,SURF,ANY,60,20,30,
5,73,SURF,ANY,5,20,40,
5,278,SURF,ANY,30,20,30,
5,279,SURF,ANY,5,20,40,
5,399,WALK,ANY,45,9,12,
5,417,WALK,ANY,10,9,11,
5,418,WALK,ANY,35,8,12,
5,422,WALK,ANY,45,8,11,
6,190,HONEY_TREE,ANY,15,5,15,
6,214,HONEY_TREE,ANY,5,5,15,
