id,name,region,map_group,sort_order,zone_id
1,Route 201,Sinnoh,Overworld,201,354
2,Route 202,Sinnoh,Overworld,202,355
3,Route 203,Sinnoh,Overworld,203,356
4,Route 204,Sinnoh,Overworld,204,
5,Route 205,Sinnoh,Overworld,205,
6,Route 206,Sinnoh,Overworld,206,362
7,Route 207,Sinnoh,Overworld,207,364
8,Route 208,Sinnoh,Overworld,208,365
9,Route 209,Sinnoh,Overworld,209,367
10,Route 210,Sinnoh,Overworld,210,
11,Route 211,Sinnoh,Overworld,211,
12,Route 212,Sinnoh,Overworld,212,
13,Route 213,Sinnoh,Overworld,213,385
14,Route 214,Sinnoh,Overworld,214,392
15,Route 215,Sinnoh,Overworld,215,394
16,Route 216,Sinnoh,Overworld,216,395
17,Route 217,Sinnoh,Overworld,217,397
18,Route 218,Sinnoh,Overworld,218,400
19,Route 219,Sinnoh,Water,219,403
20,Route 220,Sinnoh,Water,220,485
21,Route 221,Sinnoh,Overworld,221,404
22,Route 222,Sinnoh,Overworld,222,407
23,Route 223,Sinnoh,Water,223,486
24,Route 224,Sinnoh,Overworld,224,411
25,Route 225,Sinnoh,Overworld,225,412
26,Route 226,Sinnoh,Overworld,226,487
27,Route 227,Sinnoh,Overworld,227,414
28,Route 228,Sinnoh,Overworld,228,416
29,Route 229,Sinnoh,Overworld,229,420
30,Route 230,Sinnoh,Water,230,489
31,Canalave City,Sinnoh,Water,1001,24
32,Eterna City,Sinnoh,Water,1002,54
33,Pastoria City,Sinnoh,Water,1003,110
34,Sunyshore City,Sinnoh,Water,1004,142
35,Twinleaf Town,Sinnoh,Water,1005,422
36,Celestic Town,Sinnoh,Water,1006,456
37,Resort Area,Sinnoh,Water,1007,473
38,Pokémon League,Sinnoh,Water,1008,
39,Oreburgh Mining Museum,Sinnoh,Building,1009,
40,Hearthome City,Sinnoh,Building,1010,
41,Oreburgh Mine,Sinnoh,Cave,1020,
42,Oreburgh Gate,Sinnoh,Cave,1021,
43,Ravaged Path,Sinnoh,Cave,1022,252
44,Wayward Cave,Sinnoh,Cave,1023,
45,Mt. Coronet,Sinnoh,Cave,1024,
46,Victory Road,Sinnoh,Cave,1025,
47,Turnback Cave,Sinnoh,Cave,1026,
48,Stark Mountain,Sinnoh,Cave,1027,
49,Snowpoint Temple,Sinnoh,Cave,1028,
50,Iron Island,Sinnoh,Cave,1029,
51,Lost Tower,Sinnoh,Cave,1030,
52,Solaceon Ruins,Sinnoh,Cave,1031,
53,Ruin Maniac Cave,Sinnoh,Cave,1032,
54,Maniac Tunnel,Sinnoh,Cave,1033,296
55,Eterna Forest,Sinnoh,Forest,1040,200
56,Fuego Ironworks,Sinnoh,Overworld,1041,
57,Floaroma Meadow,Sinnoh,Overworld,1042,
58,Valley Windworks,Sinnoh,Overworld,1043,
59,Trophy Garden,Sinnoh,Overworld,1044,380
60,Great Marsh,Sinnoh,Marsh,1050,
61,Lake Verity,Sinnoh,Water,1060,
62,Lake Valor,Sinnoh,Water,1061,
63,Lake Acuity,Sinnoh,Water,1062,
64,Valor Lakefront,Sinnoh,Overworld,1063,347
65,Acuity Lakefront,Sinnoh,Overworld,1064,351
66,Sendoff Spring,Sinnoh,Water,1065,263
67,Old Chateau,Sinnoh,Building,1070,
68,Spear Pillar,Sinnoh,Cave,1080,
69,Newmoon Island,Sinnoh,Overworld,1081,
70,Flower Paradise,Sinnoh,Overworld,1082,
71,Hall of Origin,Sinnoh,Overworld,1083,
72,Roaming Sinnoh,Sinnoh,Overworld,1090,
73,Grand Underground,Sinnoh,Grand Underground,2000,
