id,name,type1,type2,base_hp,base_atk,base_def,base_spa,base_spd,base_spe,sprite_key
1,Bulbasaur,GRASS,POISON,45,49,49,65,65,45,001
2,Ivysaur,GRASS,POISON,60,62,63,80,80,60,002
3,Venusaur,GRASS,POISON,80,82,83,100,100,80,003
4,Charmander,FIRE,,39,52,43,60,50,65,004
5,Charmeleon,FIRE,,58,64,58,80,65,80,005
6,Charizard,FIRE,FLYING,78,84,78,109,85,100,006
7,Squirtle,WATER,,44,48,65,50,64,43,007
8,Wartortle,WATER,,59,63,80,65,80,58,008
9,Blastoise,WATER,,79,83,100,85,105,78,009
10,Caterpie,BUG,,45,30,35,20,20,45,010
11,Metapod,BUG,,50,20,55,25,25,30,011
12,Butterfree,BUG,FLYING,60,45,50,90,80,70,012
13,Weedle,BUG,POISON,40,35,30,20,20,50,013
14,Kakuna,BUG,POISON,45,25,50,25,25,35,014
15,Beedrill,BUG,POISON,65,90,40,45,80,75,015
16,Pidgey,NORMAL,FLYING,40,45,40,35,35,56,016
17,Pidgeotto,NORMAL,FLYING,63,60,55,50,50,71,017
18,Pidgeot,NORMAL,FLYING,83,80,75,70,70,101,018
19,Rattata,NORMAL,,30,56,35,25,35,72,019
20,Raticate,NORMAL,,55,81,60,50,70,97,020
21,Spearow,NORMAL,FLYING,40,60,30,31,31,70,021
22,Fearow,NORMAL,FLYING,65,90,65,61,61,100,022
23,Ekans,POISON,,35,60,44,40,54,55,023
24,Arbok,POISON,,60,95,69,65,79,80,024
25,Pikachu,ELECTRIC,,35,55,40,50,50,90,025
26,Raichu,ELECTRIC,,60,90,55,90,80,110,026
27,Sandshrew,GROUND,,50,75,85,20,30,40,027
28,Sandslash,GROUND,,75,100,110,45,55,65,028
29,Nidoran-F,POISON,,55,47,52,40,40,41,029
30,Nidorina,POISON,,70,62,67,55,55,56,030
31,Nidoqueen,POISON,GROUND,90,92,87,75,85,76,031
32,Nidoran-M,POISON,,46,57,40,40,40,50,032
33,Nidorino,POISON,,61,72,57,55,55,65,033
