location_id,species_id,method,time_of_day,rate,min_level,max_level,condition_note
24,904,SURF,ANY,30,45,45,Surfing + Incense Burner
24,904,SURF,ANY,30,45,45,Surfing + Incense Burner
24,72,SURF,ANY,60,45,45,
24,422,SURF,ANY,30,45,45,
24,73,SURF,ANY,5,45,45,
24,423,SURF,ANY,4,45,45,
24,423,SURF,ANY,1,45,45,
24,129,OLD_ROD,ANY,60,10,10,
24,456,OLD_ROD,ANY,30,10,10,
24,120,OLD_ROD,ANY,5,10,10,
24,120,OLD_ROD,ANY,4,10,10,
24,120,OLD_ROD,ANY,1,10,10,
24,129,GOOD_ROD,ANY,60,25,25,
24,456,GOOD_ROD,ANY,30,25,25,
24,120,GOOD_ROD,ANY,5,25,25,
24,120,GOOD_ROD,ANY,4,25,25,
24,120,GOOD_ROD,ANY,1,25,25,
24,130,SUPER_ROD,ANY,60,50,50,
24,457,SUPER_ROD,ANY,30,50,50,
24,121,SUPER_ROD,ANY,5,50,50,
24,121,SUPER_ROD,ANY,4,50,50,
24,121,SUPER_ROD,ANY,1,50,50,
54,211,SURF,ANY,30,40,40,Surfing + Incense Burner (Hisuian form)
54,54,SURF,ANY,60,40,40,
54,54,SURF,ANY,30,40,40,
54,55,SURF,ANY,5,40,40,
54,55,SURF,ANY,4,40,40,
54,55,SURF,ANY,1,40,40,
54,129,OLD_ROD,ANY,60,10,10,
54,60,OLD_ROD,ANY,30,10,10,
54,147,OLD_ROD,ANY,5,10,10,
54,147,OLD_ROD,ANY,4,10,10,
54,147,OLD_ROD,ANY,1,10,10,
54,129,GOOD_ROD,ANY,60,25,25,
54,60,GOOD_ROD,ANY,30,25,25,
54,147,GOOD_ROD,ANY,5,25,25,
54,147,GOOD_ROD,ANY,4,25,25,
54,147,GOOD_ROD,ANY,1,25,25,
54,130,SUPER_ROD,ANY,60,50,50,
54,61,SUPER_ROD,ANY,30,50,50,
54,148,SUPER_ROD,ANY,5,50,50,
54,148,SUPER_ROD,ANY,4,50,50,
54,148,SUPER_ROD,ANY,1,50,50,
110,211,SURF,ANY,30,40,40,Surfing + Incense Burner (Hisuian form)
110,72,SURF,ANY,60,40,40,
110,422,SURF,ANY,30,40,40,East Sea form
110,73,SURF,ANY,5,40,40,
110,423,SURF,ANY,4,40,40,
110,423,SURF,ANY,1,40,40,
110,129,OLD_ROD,ANY,60,10,10,
110,60,OLD_ROD,ANY,30,10,10,
110,318,OLD_ROD,ANY,5,10,10,
110,318,OLD_ROD,ANY,4,10,10,
110,318,OLD_ROD,ANY,1,10,10,
110,129,GOOD_ROD,ANY,60,25,25,
110,60,GOOD_ROD,ANY,30,25,25,
110,318,GOOD_ROD,ANY,5,25,25,
110,318,GOOD_ROD,ANY,4,25,25,
110,318,GOOD_ROD,ANY,1,25,25,
110,130,SUPER_ROD,ANY,60,50,50,
110,61,SUPER_ROD,ANY,30,50,50,
110,319,SUPER_ROD,ANY,5,50,50,
110,319,SUPER_ROD,ANY,4,50,50,
110,319,SUPER_ROD,ANY,1,50,50,
142,864,SURF,ANY,30,60,60,Surfing + Incense Burner
142,73,SURF,ANY,60,60,60,
142,279,SURF,ANY,30,60,60,
142,226,SURF,ANY,5,60,60,
142,226,SURF,ANY,4,60,60,
142,226,SURF,ANY,1,60,60,
142,129,OLD_ROD,ANY,60,10,10,
