id,name,region,map_group,sort_order,zone_id
24,Canalave City,Sinnoh,Overworld,5000,24
54,Eterna City,Sinnoh,Overworld,5001,54
110,Pastoria City,Sinnoh,Overworld,5002,110
142,Sunyshore City,Sinnoh,Overworld,5003,142
167,Pokemon League,Sinnoh,Overworld,5004,167
195,Oreburgh Mine B1F,Sinnoh,Cave,5005,195
196,Oreburgh Mine B2F,Sinnoh,Cave,5006,196
197,Valley Windworks (Outside),Sinnoh,Overworld,5007,197
200,Eterna Forest,Sinnoh,Forest,5008,200
201,Fuego Ironworks (Outside),Sinnoh,Overworld,5009,201
203,Mt. Coronet - Route 207 Entrance,Sinnoh,Cave,2070,203
204,Mt. Coronet - 2F,Sinnoh,Cave,5011,204
205,Mt. Coronet - 3F,Sinnoh,Cave,5012,205
206,Mt. Coronet - Snow Area,Sinnoh,Cave,5013,206
207,Mt. Coronet - Summit,Sinnoh,Cave,5014,207
208,Mt. Coronet - 4F (Waterfall),Sinnoh,Cave,5015,208
209,Mt. Coronet - 4F (Towards Spear Pillar),Sinnoh,Cave,5016,209
210,Mt. Coronet - 5F,Sinnoh,Cave,5017,210
211,Mt. Coronet - 6F,Sinnoh,Cave,5018,211
212,Mt. Coronet - Tunnel to Route 211 Entrance,Sinnoh,Cave,2110,212
213,Mt. Coronet - Route 216 Entrance,Sinnoh,Cave,2160,213
214,Mt. Coronet - Route 211 Entrance,Sinnoh,Cave,2110,214
215,Mt. Coronet - B1F,Sinnoh,Cave,5022,215
219,Great Marsh - Area 1,Sinnoh,Marsh,5023,219
220,Great Marsh - Area 2,Sinnoh,Marsh,5024,220
221,Great Marsh - Area 3,Sinnoh,Marsh,5025,221
222,Great Marsh - Area 4,Sinnoh,Marsh,5026,222
223,Great Marsh - Area 5,Sinnoh,Marsh,5027,223
224,Great Marsh - Area 6,Sinnoh,Marsh,5028,224
225,Solaceon Ruins - 2F,Sinnoh,Cave,5029,225
227,Solaceon Ruins - F Room Dead End (NE),Sinnoh,Cave,5030,227
228,Solaceon Ruins - 1F Dead End (NW),Sinnoh,Cave,5031,228
229,Solaceon Ruins - F Room,Sinnoh,Cave,5032,229
230,Solaceon Ruins - 1F Dead End (SE),Sinnoh,Cave,5033,230
231,Solaceon Ruins - R Room,Sinnoh,Cave,5034,231
232,Solaceon Ruins - F Room Dead End (SE),Sinnoh,Cave,5035,232
233,Solaceon Ruins - N Room Dead End (SE),Sinnoh,Cave,5036,233
234,Solaceon Ruins - E Room Dead End (SW),Sinnoh,Cave,5037,234
